a              6 
a@l            e 
a-s	        ez
aah            a 
abc            e  bi  si 
abc@l          e  bi  si 
abcd@l         e  bi  si  di 
abcdefg@k   e  bi  si  di  i  Ef  Gi 
abcs           e  bi  siz 
abigail        &b6gel 
able           ebL 
about          6bQt 
above          6bAv 
absolute       &bs6lut 
absolutely    &bs6lutli 
absorbent    6bs%b~t 
abu              6bu 
abuse           6byuz 
abuses         6byusIz 
accept          &ksEpt 
acceptable     &ksEpt6bL 
accepted         &ksEpt6d 
accident       &ks6dEnt 
accidentally      &ks6dEntLi 
accidently     &ks6dEntli 
accidents       &ks6dEnts 
accordion       6k%di6n 
account           6kQnt 
accused           6kyuzd 
accustomed     6kAstMd 
achieve          6civ 
achieved       6civd 
achieves         6civz 
achieving       6civIN 
achoo             6Cu 
acknowledge      Eknal6G 
acknowledged   Eknal6Gd 
acquiesced     &kwIEst 
acre               ekR 
across          6kras 
act            &kt 
acting          &ktIN 
action          &kC~ 
activator        &kt6vetR 
active            &ktIv 
activities     &ktIvItiz 
activity       &ktIvIti 
actor            &ktR 
actorfactormactor    &ktR  f&ktR  m&ktR 
acts           &kts  
actual         &kcuL 
actually       &kcu6li 
ad             &d 
adam        &dM 
adam's      &dMz 
add            &d 
added         &d6d 
addicted      6dIkt6d 
adding        &dIN 
adds            &dz 
adjustable     6GAst6bL 
adjustment     6GAstm~t 
adjustments   6GAstm~ts 
admit	      &dmIt
adorable        6d%6bL 
adore            6d% 
adult             6dAlt 
adults         6dAlts 
advanced       &dv&nst 
adventure        %dvEnCR 
advice           &dv9s 
advises          &dv9z6z 
afford          6f%d 
afraid         6fred 
africa        &frIk6 
african       &frIk~ 
after          &ftR 
afternoon      &ftRnun 
afterwards     &ftRwRdz 
again          6gEn 
against       6gEnst 
age            eG 
aggie         &gi 
aggravated   &gr6vet6d 
aggravating    &gr6vetIN 
aggressive       6grEsIv 
agnes             &gn6s 
ago            6go 
agree          6gri 
agreed         6grid 
ah                a 
ahab             eh&b 
ahead          6hEd 
ahhah          aha 
ahoy            6h7 
aid             ed 
